Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Event
1,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258,Men's 200m
2,19.84,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245,Men's 200m
3,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242,Women's 100mH
4,9.9,1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241,Men's 100m
4,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241,Women's 100mH
6,9.92,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234,Men's 100m
7,44.24,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233,Men's 400m
8,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231,Women's 100mH
8,9.93,0.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1231,Men's 100m
10,12.47,0.0,Tobi AMUSAN,23 APR 1997,NGR,3f1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1223,Women's 100mH
11,12.48,0.4,Tobi AMUSAN,23 APR 1997,NGR,1h5,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1221,Women's 100mH
12,9.96,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1220,Men's 100m
13,12.52,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Olympiastadion, Stockholm (SWE)",02 JUL 2023,1216,Women's 100mH
14,12.56,-0.7,Tobi AMUSAN,23 APR 1997,NGR,1sf2,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1214,Women's 100mH
15,9.98,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,6,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1213,Men's 100m
16,12.57,-0.4,Tobi AMUSAN,23 APR 1997,NGR,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1211,Women's 100mH
17,20.07,0.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1209,Men's 200m
18,48.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1207,Men's 400mH
19,12.59,1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1206,Women's 100mH
20,48.52,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1205,Men's 400mH
21,48.54,,Ezekiel NATHANIEL,20 JUN 2003,NGR,3,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1204,Men's 400mH
22,12.62,-0.2,Tobi AMUSAN,23 APR 1997,NGR,6f1,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023,1203,Women's 100mH
22,48.55,,Ezekiel NATHANIEL,20 JUN 2003,NGR,2,"Wolfe Track & Field Complex, Memphis, TN (USA)",04 AUG 2023,1203,Men's 400mH
22,44.67,,Emmanuel BAMIDELE,06 JUL 1999,NGR,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1203,Men's 400m
25,44.71,,Emmanuel BAMIDELE,06 JUL 1999,NGR,4,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1200,Men's 400m
26,10.02,1.4,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Alumni Stadium, London (CAN)",28 MAY 2023,1199,Men's 100m
26,10.02,1.8,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,8,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1199,Men's 100m
28,11.01,0.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1198,Women's 100m
28,20.14,1.8,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1f3,"Hilmer Lodge Stadium, Walnut, CA (USA)",15 APR 2023,1198,Men's 200m
30,10.03,0.8,Seye OGUNLEWE,30 AUG 1991,NGR,1f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1196,Men's 100m
31,44.8,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1h1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1194,Men's 400m
32,48.74,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1h1,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1193,Men's 400mH
32,12.69,-0.2,Tobi AMUSAN,23 APR 1997,NGR,8,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1193,Women's 100mH
