Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258
2,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241
3,9.9,1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
4,9.92,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234
5,44.24,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233
6,9.96,1.3,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1220
7,48.47,,Ezekiel NATHANIEL,20 JUN 2003,NGR,4h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1207
8,10.02,1.4,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1,"Alumni Stadium, London (CAN)",28 MAY 2023,1199
9,11.01,0.1,Rosemary CHUKWUMA,05 DEC 2001,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1198
10,10.03,0.8,Seye OGUNLEWE,30 AUG 1991,NGR,1f1,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1196
11,10.05,1.0,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1189
12,11.1,1.6,Tobi AMUSAN,23 APR 1997,NGR,3f2,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1178
13,22.58,1.7,Favour OFILI,31 DEC 2002,NGR,1h7,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1177
14,20.34,0.9,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1f2,"Alumni Field, Windsor (CAN)",24 JUN 2023,1167
15,11.17,0.9,Favour OFILI,31 DEC 2002,NGR,5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1163
16,22.72,1.8,Rosemary CHUKWUMA,05 DEC 2001,NGR,1f9,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",21 APR 2023,1163
17,13.5,0.7,Stephen ELOJI,,NGR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",14 MAY 2023,1158
18,20.43,0.5,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,1f1,"Sam Bailey Track Stadium, Tuscaloosa, AL (USA)",22 APR 2023,1153
19,10.17,1.4,Karlington ANUNAGBA,07 JUL 2001,NGR,5h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1148
20,20.47,1.3,Emmanuel BAMIDELE,06 JUL 1999,NGR,1f2,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1147
21,51.51,,Imaobong Nse UKO,20 FEB 2004,NGR,5h3,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1146
22,11.26,0.8,Faith OKWOSE,27 MAY 2006,NGR,1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",07 AUG 2023,1144
23,11.28,1.7,Victory GODAH,09 DEC 2002,NGR,1sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1139
24,45.6,,Dubem NWACHUKWU,08 FEB 2000,NGR,6h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1138
25,13.61,1.7,Bashiru ABDILLAHI,26 OCT 1997,NGR,5h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1138
26,11.29,1.7,Success UMUKORO,09 JAN 2001,NGR,3f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",29 APR 2023,1137
27,11.29,0.8,Justina Tiana EYAKPOBEYAN,26 SEP 2006,NGR,2,"Hasely Crawford Stadium, Port-of-Spain (TTO)",07 AUG 2023,1137
28,45.63,,Ifeanyi Emmanuel OJELI,10 OCT 1998,NGR,2f2,"Centro Sportivo Saletti, Nembro (ITA)",01 JUL 2023,1136
29,23.01,1.4,Imaobong Nse UKO,20 FEB 2004,NGR,3h3,"John Jacobs Track Complex, Norman, OK (USA)",13 MAY 2023,1134
30,10.22,1.4,Emmanuel Ekanem CONSIDER,01 DEC 2004,NGR,2sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1132
31,51.85,,Ella ONOJUVWEVWO,25 MAR 2005,NGR,3h5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1132
32,51.92,,Patience Okon GEORGE,25 NOV 1991,NGR,1,"MKO Abiola National Stadium, Abuja (NGR)",26 MAY 2023,1130
33,10.23,1.4,Adekalu Nicholas FAKOREDE,28 JUN 2003,NGR,3sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1128
34,13.66,0.1,Prosper Oghenemine EKPORERE,03 NOV 2002,NGR,1,"Samuel Ogbemudia Stadium, Benin City (NGR)",06 JUL 2023,1128
35,45.79,,Raphael Chimezie EGBUCHILEM,17 APR 2003,NGR,1pr1,"Hornet Stadium - Sac St., Sacramento, CA (USA)",24 MAY 2023,1126
36,10.24,0.1,Sunday AKINTAN,29 NOV 2004,NGR,1f1,"DSC Athletics Track, Dubai (UAE)",12 MAY 2023,1125
37,56.57,,Abasiono AKPAN,15 DEC 2000,NGR,2h1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1124
38,20.63,-0.2,Seye OGUNLEWE,30 AUG 1991,NGR,1f1,"Stadion Eggenberg, Graz (AUT)",16 JUN 2023,1124
39,45.83,,Chidi OKEZIE,08 AUG 1993,NGR,1f1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1123
40,10.26,1.0,Ogheneovo Nicholas MABILO,14 FEB 2003,NGR,1f3,"Geroge C. Griffin Track, Atlanta, GA (USA)",21 APR 2023,1118
41,45.91,,Samuel OGAZI,14 MAY 2006,NGR,1f1,"MKO Abiola National Stadium, Abuja (NGR)",26 MAY 2023,1117
42,20.72,-1.2,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,3h5,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",11 MAY 2023,1116
43,23.28,-1.8,Tima Seikeseye GODBLESS,14 JUL 2004,NGR,1h2,"Levy Mwanawasa Stadion, Ndola (ZAM)",01 MAY 2023,1116
44,50.3,,Rilwan ALOWONLE,12 DEC 1993,NGR,3,"Ratinan Stadion, Tampere (FIN)",08 AUG 2023,1115
45,10.27,0.2,Kayinsola AJAYI,14 SEP 2004,NGR,1h5,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1115
46,11.43,-0.9,Tima Seikeseye GODBLESS,14 JUL 2004,NGR,1h3,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023,1113
47,10.28,0.9,Victor AKHALU,29 SEP 2003,NGR,2f1,"Veterans Memorial Stadium, Clovis, CA (USA)",13 MAY 2023,1112
48,11.41,1.7,Blessing OGUNDIRAN,22 NOV 2000,NGR,2sf3,"Yabatech Sport Complex, Lagos (NGR)",14 JUL 2023,1112
49,13.31,-0.7,Miracle THOMPSON,25 MAR 2001,NGR,1,"New Mexico JC, Hobbs, NM (USA)",20 MAY 2023,1112
50,13.29,0.8,Adaobi TABUGBO,03 OCT 2001,NGR,6h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1111
