Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258
2,19.84,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245
3,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242
4,12.35,-0.5,Tobi AMUSAN,23 APR 1997,NGR,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1242
5,9.9,1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
6,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241
7,12.34,0.9,Tobi AMUSAN,23 APR 1997,NGR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1241
8,19.91,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 MAY 2023,1234
9,9.92,1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234
10,44.24,,Emmanuel BAMIDELE,06 JUL 1999,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1233
11,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231
12,12.47,-1.4,Tobi AMUSAN,23 APR 1997,NGR,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1231
