Ranking,Athlete,Country,Ranking Point
1,Noah LYLES,USA,50.0
2,Shericka JACKSON,JAM,44.0
3,Sha'Carri RICHARDSON,USA,42.0
4,Álvaro MARTÍN,ESP,40.0
4,Faith KIPYEGON,KEN,40.0
4,María PÉREZ,ESP,40.0
7,Jakob INGEBRIGTSEN,NOR,36.0
8,Femke BOL,NED,30.0
9,Sifan HASSAN,NED,28.0
9,Letsile TEBOGO,BOT,28.0
11,Zharnel HUGHES,GBR,27.0
12,Gabrielle THOMAS,USA,26.0
12,Kimberly GARCÍA LEÓN,PER,26.0
14,Antonio WATSON,JAM,25.0
15,Rai BENJAMIN,USA,22.0
15,Quincy HALL,USA,22.0
17,Soufiane EL BAKKALI,MAR,20.0
17,Yaroslava MAHUCHIKH,UKR,20.0
17,Grant HOLLOWAY,USA,20.0
17,Gudaf TSEGAY,ETH,20.0
